source_db_path,target_db_path,output_path,comparison_number,status,match_count,error_message,duration_seconds,peak_memory_mb,early_escape_detected
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_تهذيب_الأحكام_copy1.db,./output/matches_460_الشيخ_الطوسي_تهذيب_الأحكام_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,22,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.jsonl,23,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.jsonl,24,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 2-3_رواية_كبار_المحدثين_تاريخ_أهل_البيت_(ع)_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 2-3_رواية_كبار_المحدثين_تاريخ_أهل_البيت_(ع)_copy1.jsonl,25,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 2_ابن_الإمام_جعفر_مسائل_علي_بن_جعفر_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 2_ابن_الإمام_جعفر_مسائل_علي_بن_جعفر_copy1.jsonl,26,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 2_عدة_محدثين_الأصول_الستة_عشر_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 2_عدة_محدثين_الأصول_الستة_عشر_copy1.jsonl,27,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 3_مؤلف_مجهول_أخبار_الدولة_العباسية_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 3_مؤلف_مجهول_أخبار_الدولة_العباسية_copy1.jsonl,28,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 4_ابن_شعبة_الحراني_تحف_العقول_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 4_ابن_شعبة_الحراني_تحف_العقول_copy1.jsonl,29,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 4_محمد_بن_جرير_المسترشد_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 4_محمد_بن_جرير_المسترشد_copy1.jsonl,30,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 4_محمد_بن_جرير_دلائل_الامامة_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 4_محمد_بن_جرير_دلائل_الامامة_copy1.jsonl,31,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 4_محمد_بن_جرير_نوادر_المعجزات_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 4_محمد_بن_جرير_نوادر_المعجزات_copy1.jsonl,32,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 5_الحلواني_نزهة_الناظر_وتنبيه_الخاطر_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 5_الحلواني_نزهة_الناظر_وتنبيه_الخاطر_copy1.jsonl,33,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 6_عبد_الوهاب_شرح_كلمات_أمير_المؤمنين_علي_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 6_عبد_الوهاب_شرح_كلمات_أمير_المؤمنين_علي_copy1.jsonl,34,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 6_علي_بن_محمد_عيون_الحكم_والمواعظ_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 6_علي_بن_محمد_عيون_الحكم_والمواعظ_copy1.jsonl,35,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 6_قطب_الدين_البيهقي_إصباح_الشيعة_بمصباح_الشريعة_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 6_قطب_الدين_البيهقي_إصباح_الشيعة_بمصباح_الشريعة_copy1.jsonl,36,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 7_علي_الطبرسي_مشكاة_الأنوار_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 7_علي_الطبرسي_مشكاة_الأنوار_copy1.jsonl,37,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ن329_علي_بن_إبراهيم_تفسير_القمي_copy1.db,./output/matches_ن329_علي_بن_إبراهيم_تفسير_القمي_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,38,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.jsonl,39,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1.db,./output/matches_260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,40,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/274_أحمد_بن_محمد_المحاسن_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_274_أحمد_بن_محمد_المحاسن_copy1.jsonl,41,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/290_محمد_بن_الحسن_بصائر_الدرجات_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_290_محمد_بن_الحسن_بصائر_الدرجات_copy1.jsonl,42,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/300_الحميري_القمي_قرب_الاسناد_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_300_الحميري_القمي_قرب_الاسناد_copy1.jsonl,43,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/320_محمد_بن_مسعود_تفسير_العياشي_copy1.db,./output/matches_320_محمد_بن_مسعود_تفسير_العياشي_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,44,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/329_الشيخ_الكليني_الكافي_copy1.db,./output/matches_329_الشيخ_الكليني_الكافي_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,45,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الأمالي_copy1.db,./output/matches_381_الشيخ_الصدوق_الأمالي_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,46,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الخصال_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_381_الشيخ_الصدوق_الخصال_copy1.jsonl,47,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_المقنع_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_381_الشيخ_الصدوق_المقنع_copy1.jsonl,48,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الهداية_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_381_الشيخ_الصدوق_الهداية_copy1.jsonl,49,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_علل_الشرائع_copy1.db,./output/matches_381_الشيخ_الصدوق_علل_الشرائع_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,50,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1.db,./output/matches_381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,51,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_معاني_الأخبار_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_381_الشيخ_الصدوق_معاني_الأخبار_copy1.jsonl,52,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_من_لا_يحضره_الفقيه_copy1.db,./output/matches_381_الشيخ_الصدوق_من_لا_يحضره_الفقيه_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,53,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/40_خطب_الإمام_علي_نهج_البلاغة_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_40_خطب_الإمام_علي_نهج_البلاغة_copy1.jsonl,54,pending,,,,,
